representation,predictor,explainer,control,seed,row_id,dataset,predictive_test_r2,average_precision,prevalence,normalized_ap_lift,supported_atom_fraction,rationale_supported_fraction,mean_randomized_nap,randomized_nap_sd,randomization_replicates,randomization_calibrated_nap
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:2474,CHEMBL214_Ki,0.975134853316404,0.1934523809523809,0.0909090909090909,0.112797619047619,0.7878787878787878,1.0,0.14849206349206348,0.14774386684043597,3,-0.03569444444444449
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:2595,CHEMBL214_Ki,0.975134853316404,1.0,0.0333333333333333,1.0,0.6333333333333333,1.0,0.03995621237000547,0.040232677538997376,3,0.9600437876299945
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:2596,CHEMBL214_Ki,0.975134853316404,1.0,0.0333333333333333,1.0,0.6333333333333333,1.0,0.16091954022988506,0.27872081960878486,3,0.8390804597701149
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:2610,CHEMBL214_Ki,0.975134853316404,1.0,0.0303030303030303,1.0,0.6666666666666666,1.0,0.008680555555555554,0.0150351632601465,3,0.9913194444444444
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:2619,CHEMBL214_Ki,0.975134853316404,1.0,0.0303030303030303,1.0,0.6666666666666666,1.0,0.3333333333333333,0.5773502691896258,3,0.6666666666666667
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:2639,CHEMBL214_Ki,0.975134853316404,1.0,0.0294117647058823,1.0,0.7058823529411765,1.0,0.004208754208754208,0.007289776126131638,3,0.9957912457912458
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:2641,CHEMBL214_Ki,0.975134853316404,1.0,0.0294117647058823,1.0,0.7058823529411765,1.0,0.4302112029384757,0.5002111836367419,3,0.5697887970615243
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:2667,CHEMBL214_Ki,0.975134853316404,1.0,0.0303030303030303,1.0,0.2424242424242424,1.0,0.10416666666666664,0.180421959121758,3,0.8958333333333334
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:2672,CHEMBL214_Ki,0.975134853316404,1.0,0.03125,1.0,0.40625,1.0,0.09098428453267164,0.11911531537628924,3,0.9090157154673284
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:2740,CHEMBL214_Ki,0.975134853316404,0.1428571428571428,0.0303030303030303,0.1160714285714285,1.0,1.0,0.03708106884057971,0.05289769159664103,3,0.0789903597308488
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:2828,CHEMBL214_Ki,0.975134853316404,1.0,0.03125,1.0,0.65625,1.0,0.027479091995221024,0.047595183481582044,3,0.972520908004779
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:2996,CHEMBL214_Ki,0.975134853316404,0.5833333333333333,0.0571428571428571,0.558080808080808,0.3142857142857143,1.0,0.19628099173553717,0.26675306098853346,3,0.3617998163452708
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:3002,CHEMBL214_Ki,0.975134853316404,0.5833333333333333,0.054054054054054,0.5595238095238094,0.3243243243243243,1.0,0.029894179894179893,0.051778238427323584,3,0.5296296296296296
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:3025,CHEMBL214_Ki,0.975134853316404,1.0,0.0384615384615384,1.0,0.4615384615384615,1.0,0.49333333333333335,0.5001333155602947,3,0.5066666666666666
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:3028,CHEMBL214_Ki,0.975134853316404,1.0,0.0384615384615384,1.0,0.6538461538461539,1.0,0.007058823529411763,0.012226240994603838,3,0.9929411764705882
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:3074,CHEMBL214_Ki,0.975134853316404,1.0,0.0263157894736842,1.0,0.4473684210526316,1.0,0.011128775834658189,0.019275605171672722,3,0.9888712241653418
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:3154,CHEMBL214_Ki,0.975134853316404,1.0,0.0588235294117647,1.0,0.1764705882352941,1.0,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:3193,CHEMBL214_Ki,0.975134853316404,1.0,0.0263157894736842,1.0,0.4473684210526316,1.0,0.07657657657657657,0.1326345213003194,3,0.9234234234234234
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:3221,CHEMBL214_Ki,0.975134853316404,1.0,0.0344827586206896,1.0,1.0,1.0,0.026606471896326967,0.0358795184428173,3,0.9733935281036731
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL214_Ki:3222,CHEMBL214_Ki,0.975134853316404,1.0,0.0344827586206896,1.0,0.7931034482758621,1.0,0.3333333333333333,0.5773502691896258,3,0.6666666666666667
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:62,CHEMBL234_Ki,0.975134853316404,0.4180035650623885,0.1304347826086956,0.3307040998217468,1.0,1.0,0.013162878787878786,0.022798774834476697,3,0.317541221033868
