dataset,representation,predictor,permutation_id,permutation_seed,test_pairs,spearman_true_predicted_delta,spearman_defined,direction_accuracy,delta_mae,delta_rmse,median_absolute_predicted_delta
CHEMBL1871_Ki,molformer,xgboost,46,20261948,11,0.10909090909090911,True,0.6363636363636364,1.6059685951710483,1.7339563695268876,0.0596779584884643
CHEMBL1871_Ki,molformer,xgboost,47,20261949,11,-0.07515580963521805,True,0.18181818181818182,1.6395668989659091,1.7640933664664038,0.0
CHEMBL1871_Ki,molformer,xgboost,48,20261950,11,-0.5818181818181819,True,0.2727272727272727,1.6707184537671564,1.8021980926762853,0.0517528057098388
CHEMBL1871_Ki,molformer,xgboost,49,20261951,11,0.2545454545454546,True,0.45454545454545453,1.645297885561063,1.768685082713687,0.0209741592407226
CHEMBL1871_Ki,molformer,xgboost,50,20261952,11,0.14887747366375534,True,0.36363636363636365,1.630114978629966,1.7555644987793284,0.0427415370941162
CHEMBL1871_Ki,molformer,xgboost,51,20261953,11,-0.4000000000000001,True,0.6363636363636364,1.637755513811185,1.7804222172462405,0.0672322511672973
CHEMBL1871_Ki,morgan,mlp,42,20261944,11,0.5,True,0.45454545454545453,1.6540133634177856,1.7717146051525439,0.0683529376983642
CHEMBL1871_Ki,morgan,mlp,43,20261945,11,0.3545454545454546,True,0.45454545454545453,1.6484842089870495,1.7537032907222236,0.1126884222030639
CHEMBL1871_Ki,morgan,mlp,44,20261946,11,0.26363636363636367,True,0.18181818181818182,1.6889680738579878,1.792570289597292,0.1247611045837402
CHEMBL1871_Ki,morgan,mlp,45,20261947,11,0.26363636363636367,True,0.5454545454545454,1.6920636234472484,2.006029095009751,0.4079945087432861
CHEMBL1871_Ki,morgan,mlp,46,20261948,11,0.27272727272727276,True,0.5454545454545454,1.6648021942616245,1.8143727058203771,0.1620042324066162
CHEMBL1871_Ki,morgan,mlp,47,20261949,11,0.4727272727272727,True,0.5454545454545454,1.6460131087867431,1.7518682554720713,0.0573450326919555
CHEMBL1871_Ki,morgan,mlp,48,20261950,11,-0.018181818181818184,True,0.6363636363636364,1.5989892922445512,1.721722667323713,0.294784665107727
CHEMBL1871_Ki,morgan,mlp,49,20261951,11,0.27272727272727276,True,0.45454545454545453,1.6500152680787907,1.7422885477085799,0.0954940319061279
CHEMBL1871_Ki,morgan,mlp,50,20261952,11,0.22727272727272727,True,0.5454545454545454,1.6701500638745783,1.7712449569745548,0.1074945926666259
CHEMBL1871_Ki,morgan,mlp,51,20261953,11,0.4272727272727273,True,0.5454545454545454,1.6232368193670488,1.7363308678530667,0.1170029640197753
CHEMBL1871_Ki,morgan,xgboost,42,20261944,11,,False,0.0,1.6433804691618874,1.7648797596765948,0.0
CHEMBL1871_Ki,morgan,xgboost,43,20261945,11,-0.04045199174779453,True,0.0,1.6565354743568115,1.7749223651675963,0.0
CHEMBL1871_Ki,morgan,xgboost,44,20261946,11,0.026967994498529685,True,0.0,1.6513955165820422,1.7713461436611981,0.0
CHEMBL1871_Ki,morgan,xgboost,45,20261947,11,-0.005781216125786004,True,0.18181818181818182,1.6414221206275634,1.7662758785201191,0.0
CHEMBL1871_Ki,morgan,xgboost,46,20261948,11,-0.12395013660192701,True,0.18181818181818182,1.6527479893208286,1.7677421932094086,0.0357307195663452
CHEMBL1871_Ki,morgan,xgboost,47,20261949,11,-0.20000000000000004,True,0.09090909090909091,1.6415300700578557,1.7637599577077987,0.0
CHEMBL1871_Ki,morgan,xgboost,48,20261950,11,0.346242356159436,True,0.6363636363636364,1.5812852605603693,1.7215420214075143,0.0687756538391113
CHEMBL1871_Ki,morgan,xgboost,49,20261951,11,-0.4000000000000001,True,0.0,1.6488139093703225,1.768290882367075,0.0
CHEMBL1871_Ki,morgan,xgboost,50,20261952,11,,False,0.0,1.6433804691618874,1.7648797596765948,0.0
CHEMBL1871_Ki,morgan,xgboost,51,20261953,11,0.3302891295379082,True,0.2727272727272727,1.6686814379389368,1.8181366219000739,0.0747445821762085
CHEMBL1871_Ki,unimol,mlp,42,20261944,11,-0.05454545454545456,True,0.8181818181818182,1.4846856600285312,1.6800355465250303,0.2458568811416626
CHEMBL1871_Ki,unimol,mlp,43,20261945,11,-0.23636363636363636,True,0.5454545454545454,1.5230844352159367,1.72333502771939,0.1241425275802612
CHEMBL1871_Ki,unimol,mlp,44,20261946,11,-0.14545454545454548,True,0.36363636363636365,1.9960626044837646,2.1280645786277343,0.2842923402786255
CHEMBL1871_Ki,unimol,mlp,45,20261947,11,-0.28181818181818186,True,0.36363636363636365,1.7476805888220048,1.8548503418359843,0.1798365116119384
CHEMBL1871_Ki,unimol,mlp,46,20261948,11,-0.16363636363636366,True,0.45454545454545453,1.7697810482676113,2.10215278011258,0.6014807224273682
CHEMBL1871_Ki,unimol,mlp,47,20261949,11,-0.5636363636363637,True,0.09090909090909091,1.730122848610518,1.8485226633093625,0.0954905748367309
CHEMBL1871_Ki,unimol,mlp,48,20261950,11,0.03636363636363637,True,0.45454545454545453,1.6391114219449519,1.7684116358435549,0.0728284120559692
CHEMBL1871_Ki,unimol,mlp,49,20261951,11,0.3090909090909091,True,0.45454545454545453,1.6403198790247524,1.7507307290453182,0.0909805297851562
CHEMBL1871_Ki,unimol,mlp,50,20261952,11,0.009090909090909092,True,0.6363636363636364,1.6240767463468073,1.742424166202811,0.0904018878936767
CHEMBL1871_Ki,unimol,mlp,51,20261953,11,-0.10000000000000002,True,0.5454545454545454,1.6334657675267001,1.7664536259995836,0.0940548181533813
CHEMBL1871_Ki,unimol,xgboost,42,20261944,11,0.4282471247235129,True,0.6363636363636364,1.6294261223316928,1.7552896250086965,0.0315337181091308
CHEMBL1871_Ki,unimol,xgboost,43,20261945,11,0.4909090909090909,True,0.6363636363636364,1.612972173443781,1.743673619395509,0.0839753150939941
CHEMBL1871_Ki,unimol,xgboost,44,20261946,11,-0.10092167846991638,True,0.18181818181818182,1.6570697053693293,1.7762649725580169,0.0427700281143188
