dataset,component_id,representation,predictor,mapping_combinations_evaluated,chosen_mapping_nap,minimum_mapping_nap,maximum_mapping_nap,mapping_nap_range
CHEMBL244_Ki,2,morgan,mlp,2,0.07819912943189718,0.07600417675740487,0.07819912943189718,0.0021949526744923092
CHEMBL244_Ki,2,molformer,xgboost,2,0.003523718823492571,0.003523718823492571,0.02321348575590657,0.019689766932413998
CHEMBL244_Ki,2,molformer,mlp,2,-0.014876936040618911,-0.014876936040618911,0.06631186423991647,0.08118880028053538
CHEMBL244_Ki,2,unimol,xgboost,2,0.007949218171404879,0.007949218171404879,0.03412428241638353,0.026175064244978653
CHEMBL244_Ki,2,unimol,mlp,2,-0.0010734204132931636,-0.0010734204132931636,0.035722359363663705,0.03679577977695687
CHEMBL244_Ki,87,morgan,xgboost,2,-0.00445743514797223,-0.011668290504607612,-0.00445743514797223,0.007210855356635382
CHEMBL244_Ki,87,morgan,mlp,2,-0.030710835058661155,-0.04356853965044055,-0.030710835058661155,0.012857704591779397
CHEMBL244_Ki,87,molformer,xgboost,2,0.29391304347826086,0.2659420289855073,0.29391304347826086,0.027971014492753576
CHEMBL244_Ki,87,molformer,mlp,2,0.12402745995423342,0.06798881261123824,0.12402745995423342,0.056038647342995185
CHEMBL244_Ki,87,unimol,xgboost,2,0.5123051681706317,0.32951645246559114,0.5123051681706317,0.18278871570504052
CHEMBL244_Ki,87,unimol,mlp,2,0.3695652173913044,0.24125557413600895,0.3695652173913044,0.12830964325529542
CHEMBL244_Ki,114,morgan,xgboost,2,0.1826086956521739,0.0,0.1826086956521739,0.1826086956521739
CHEMBL244_Ki,114,morgan,mlp,2,0.09178743961352656,0.0,0.09178743961352656,0.09178743961352656
CHEMBL244_Ki,114,molformer,xgboost,2,0.23369565217391305,0.0,0.23369565217391305,0.23369565217391305
CHEMBL244_Ki,114,molformer,mlp,2,0.48913043478260876,0.0,0.48913043478260876,0.48913043478260876
CHEMBL244_Ki,114,unimol,xgboost,2,0.14855072463768115,0.0,0.14855072463768115,0.14855072463768115
CHEMBL244_Ki,114,unimol,mlp,2,1.0,0.0,1.0,1.0
