draw,unadjusted_boundary_extended,null_adjusted_boundary_extended,null_adjusted_strict_unmatched,null_adjusted_boundary_prevalence_le_0_8
293,-0.0019841443800517,-0.012310606060606018,-0.006664166666666679,-0.010502230229138237
294,-0.0106453752340189,-0.011993247728927025,-0.010304690043946945,-0.0027686620181753933
295,-0.007827139251101201,-0.01051828703703703,-0.013944353670666983,-0.00622729287841485
296,-0.0106348814229249,-0.0020568755528699648,-0.010910466454710938,-0.006183041027262144
297,-0.0069134148519975,-0.004737426747706865,-0.011790382966571821,-0.012410005935152159
298,-0.01503451848267445,-0.012696599533201399,-0.0159296768696456,-0.00616627858243568
299,-0.0103430682283554,-0.012413173627157707,-0.01569734968314511,-0.010843738837068016
300,-0.0086651122000002,-0.013744340393176159,-0.011088413341312154,-0.013012878036959198
301,-0.004763030966239449,-0.008313885360289933,-0.008687230593480592,-0.007700777632161053
302,-0.0107581954538049,-0.014371712435403148,-0.00580904518514715,-0.00622729287841485
303,-0.0034185074948571,-0.0144146000776939,-0.010752482283841958,-0.00758486503992245
304,-0.0034624719822088,-0.008949851398196474,-0.010436913985103475,-0.008157280408164186
305,-0.0095005058963285,-0.009756007994335392,-0.010420078763828763,-0.010119882198998238
306,-0.01078473774298305,-0.011912013822031242,-0.00939719058405927,-0.010260242290792816
307,-0.0096690540830622,-0.012400968771260635,-0.016852704169547088,-0.006706444436907039
308,-0.0089567792840897,-0.003243923110655786,-0.01338804261922354,-0.015320398004773028
309,-0.0109690656565656,-0.0119111667763825,-0.012719648258282916,-0.01394641872204179
310,-0.0120898724496495,-0.010592982954545471,-0.006276989637998574,-0.00658450315287213
311,-0.00929316861839155,-0.005710235690235661,-0.012438905620374648,-0.011033867824393202
312,-0.0112708163799116,-0.014046917266725079,-0.008297985347985357,-0.0071889279583331675
313,-0.0052287048131923,-0.00403468801089929,-0.014856281663769597,-0.007829476111569936
314,-0.0134637188208616,-0.008237765867683298,-0.012719648258282916,-0.011151558441558414
315,-0.0083787748536872,-0.011606728522003909,-0.012599107232986333,-0.009431067836051878
